▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 879ms
✓ Running next.config.mjs took 67ms

 GET / 200 in 240ms (next.js: 9ms, application-code: 231ms)
 GET /@vite/client 404 in 123ms (next.js: 15ms, application-code: 108ms)
 GET / 200 in 475ms (next.js: 30ms, application-code: 445ms)
 GET /@vite/client 404 in 164ms (next.js: 35ms, application-code: 129ms)
 GET / 200 in 171ms (next.js: 14ms, application-code: 157ms)
 GET /@vite/client 404 in 158ms (next.js: 27ms, application-code: 131ms)
 GET / 200 in 170ms (next.js: 56ms, application-code: 114ms)
 GET /@vite/client 404 in 120ms (next.js: 19ms, application-code: 102ms)
 GET / 200 in 152ms (next.js: 21ms, application-code: 131ms)
 GET /@vite/client 404 in 151ms (next.js: 21ms, application-code: 130ms)
 GET / 200 in 184ms (next.js: 47ms, application-code: 137ms)
 GET /@vite/client 404 in 125ms (next.js: 24ms, application-code: 101ms)
 GET / 200 in 188ms (next.js: 23ms, application-code: 166ms)
 GET /@vite/client 404 in 132ms (next.js: 24ms, application-code: 109ms)
 GET / 200 in 260ms (next.js: 29ms, application-code: 231ms)
 GET /@vite/client 404 in 162ms (next.js: 25ms, application-code: 137ms)
 GET / 200 in 152ms (next.js: 34ms, application-code: 118ms)
 GET /@vite/client 404 in 101ms (next.js: 17ms, application-code: 85ms)
 GET / 200 in 152ms (next.js: 38ms, application-code: 114ms)
 GET /@vite/client 404 in 152ms (next.js: 15ms, application-code: 137ms)
 GET / 200 in 201ms (next.js: 34ms, application-code: 167ms)
 GET /@vite/client 404 in 139ms (next.js: 20ms, application-code: 119ms)
 GET / 200 in 169ms (next.js: 16ms, application-code: 153ms)
